ID,标题,类型,分类,内容,英文内容
"900111","复古邮票边纹","字体","A背景画布","在复古邮票边纹上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900112","渐变扇形","字体","A背景几何形","在渐变扇形上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900113","网格渐变","字体","A背景几何形","在网格渐变上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900114","锯齿状边缘","字体","A背景几何形","在锯齿状边缘上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900115","放射状光线","字体","A背景几何形","在放射状光线上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900116","对称折线","字体","A背景几何形","在对称折线上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900117","点状渐变","字体","A背景几何形","在点状渐变上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900118","立体方块堆叠","字体","A背景几何形","在立体方块堆叠上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900119","网格线条","字体","A背景几何形","在网格线条上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900120","立体多边形组合","字体","A背景几何形","在立体多边形组合上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900121","波浪曲线","字体","A背景几何形","在波浪曲线上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900122","对称花纹","字体","A背景几何形","在对称花纹上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900123","像素块","字体","A背景几何形","在像素块上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900124","半透明圆形叠加","字体","A背景几何形","在半透明圆形叠加上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900125","渐变几何图形阵列","字体","A背景几何形","在渐变几何图形阵列上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900126","圆形点阵","字体","A背景几何形","在圆形点阵上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900127","透明几何球体","字体","A背景几何形","在透明几何球体上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900128","曲线交织网","字体","A背景几何形","在曲线交织网上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900129","渐变莫兰迪色块","字体","A背景几何形","在渐变莫兰迪色块上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900130","破碎玻璃","字体","A背景几何形","在破碎玻璃上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
"900131","半透明叠加色块","字体","A背景几何形","在半透明叠加色块上","Offers a high-quality background or carrier for text placement. Enhances text visibility and overall design aesthetics through appropriate texture, color, and pattern selection."
